stock1,stock2,hedge_ratio,pvalue,test_stat
EIX,VTR,0.1519015196214935,3.878433351513794e-11,-7.956805307332949
EIX,ROST,0.11090556985635343,5.0901604539382514e-11,-7.909675299341235
EIX,EXPD,0.09378445300747042,5.907293303469752e-11,-7.883831939189994
EIX,NOW,-0.006004801956871794,7.366090486450356e-11,-7.845473613931547
EIX,UHS,0.06676954515965779,8.116452337538725e-11,-7.828595072841211
EIX,GM,0.11949903201410118,1.1592299800067986e-10,-7.7664739171875175
EIX,FTNT,-0.12141433609239813,1.2570029347924996e-10,-7.752339021961116
EIX,TJX,0.08226328458187583,1.9863282114530183e-10,-7.672300812214864
EIX,SMCI,-0.2067169979190172,3.3156639348973425e-10,-7.5823185101295945
EIX,PAYC,-0.05232554746898345,3.967343461535514e-10,-7.550711093663407
EIX,JNJ,0.041291381840101504,4.087993025802023e-10,-7.545429265377616
EIX,FIS,-0.1412834423106274,4.1437433719113234e-10,-7.543040585324861
EIX,TYL,-0.026572427451203917,4.320154110673355e-10,-7.535686616907162
EIX,WBD,0.1586431179968699,4.4732461786097635e-10,-7.529541988787156
EIX,HON,-0.09982459760645815,5.337908322025103e-10,-7.4983290458301335
EIX,NFLX,-0.004532339320599042,6.891209127380994e-10,-7.45312486731328
EIX,WTW,0.06662934931807919,7.695037172089643e-10,-7.433563704847931
EIX,LLY,0.008675929638290326,8.01406638275534e-10,-7.426356002883473
EIX,NWS,-1.0422789504365435,8.47045746685491e-10,-7.416524105476491
EIX,L,0.09155017681535525,8.812324701681486e-10,-7.409497062956095
EIX,WDC,0.020895592144643888,9.360799129248756e-10,-7.39876829810888
EIX,EA,0.03254632551091678,9.774121753318668e-10,-7.391086738121356
EIX,IRM,-0.10354082027789652,9.790541645954705e-10,-7.390788257039957
EIX,TRV,0.03965563883457968,1.1707658459500414e-09,-7.3589591585410945
EIX,NWSA,-1.0356804921287353,1.2116405789149678e-09,-7.352844309539707
EIX,SNA,0.10015559514147818,1.228671153988647e-09,-7.3503565680895635
EIX,TXN,-0.07798812614554756,1.2289335088741815e-09,-7.350318512038168
EIX,LII,-0.014622836138171794,1.3534736574075455e-09,-7.333104163515856
EIX,FE,0.25650217531807695,1.467849115880324e-09,-7.318623166080119
EIX,MNST,0.07827567744736444,1.5007271805014721e-09,-7.31466679170847
EIX,VRSK,-0.04295512280230999,1.5142286832597775e-09,-7.313066870177384
EIX,HRL,-0.24753275449492593,1.5327996118648808e-09,-7.31088912589182
EIX,HII,0.01243569850952791,1.7086407729670095e-09,-7.291474044042273
EIX,EXR,-0.1407696474849849,1.8778220754403433e-09,-7.274576505609593
EIX,PLD,0.08124099138746728,1.9053644012282134e-09,-7.271968982303368
EIX,F,0.4830974789820977,2.1615509640586456e-09,-7.249359686236244
EIX,SW,-0.0996782705614929,2.176482635206725e-09,-7.248124979961969
EIX,HCA,0.00963942912229193,2.242717905759783e-09,-7.242747044932983
EIX,LRCX,0.01921802270446172,2.375802740759591e-09,-7.232400376800176
EIX,NEM,0.02692141697215243,2.516767090993965e-09,-7.222048131030329
EIX,FISV,-0.011820012004301262,2.5179322651332003e-09,-7.221964972843995
EIX,MU,0.015024995965917868,3.0996864589161523e-09,-7.184574329303797
EIX,SNPS,-0.016204272265690135,3.186094783256179e-09,-7.17962162856601
EIX,EOG,-0.0615635372325723,3.216442892250871e-09,-7.177913593389484
EIX,META,-0.02104200074924943,3.3324894089322856e-09,-7.17152599329832
