phase,symbol,action,side,qty,status,order_id,pair,edge
Open/Add,C,OPEN,sell,5,success,bf378392-cd51-473d-b051-c8b80c48bb2b,C/SYF,0.0566039512150535
Open/Add,SYF,OPEN,buy,10,success,4c31eeb8-0e99-47eb-84e2-4a177c429f19,C/SYF,0.0566039512150535
Open/Add,LVS,OPEN,buy,7,success,70e5bf4c-8e22-4a56-84ad-cc86b67ccbc8,LVS/NUE,0.0516371594052166
Open/Add,NUE,OPEN,sell,9,success,b6159960-1f94-4283-a503-0602eb0c883b,LVS/NUE,0.0516371594052166
Open/Add,LUV,OPEN,sell,6,success,71438e63-09fb-4da5-b8d0-a7a0ecf5b4cf,LUV/WMT,0.0428576800776683
Open/Add,WMT,OPEN,buy,16,success,5809c621-4a4f-47a0-96f8-22ef4b6b00d2,LUV/WMT,0.0428576800776683
Open/Add,PCAR,OPEN,sell,10,success,abedd700-03e9-426a-b680-c7f3de5fdc18,PCAR/SOLV,0.0366072482208648
Open/Add,SOLV,OPEN,buy,6,success,9dc9406d-c57a-4a6d-9299-24eac61d90e8,PCAR/SOLV,0.0366072482208648
Open/Add,OXY,OPEN,buy,3,success,ea7dd47f-ada7-44cd-b303-a0d5ce932e3b,OXY/SHW,0.0365268729404515
Open/Add,SHW,OPEN,sell,3,success,d1f2ea64-3d13-4653-bd53-624be3804d0f,OXY/SHW,0.0365268729404515
Open/Add,USB,OPEN,sell,6,success,e2e5d2f9-1d70-40cd-9b4e-05c29ccb789f,USB/WFC,0.0297209959252648
Open/Add,WFC,OPEN,buy,7,success,f7517559-ade8-4963-8086-af41aa52790f,USB/WFC,0.0297209959252648
Open/Add,EL,OPEN,sell,5,success,5af4ad2b-d077-42a5-ad0b-cb93fd1ab736,EL/NTRS,0.0269584600628517
Open/Add,NTRS,OPEN,buy,8,success,342b76bf-a548-42c8-87e9-d8cf76f7ad68,EL/NTRS,0.0269584600628517
Open/Add,CF,OPEN,buy,5,success,a844e8c3-641d-41c4-ab51-73a782d9f152,CF/DIS,0.0263423284183097
Open/Add,DIS,OPEN,sell,14,success,fdc0567f-fabc-4004-8373-57b736e52f01,CF/DIS,0.0263423284183097
Open/Add,AWK,OPEN,sell,9,success,b7ea5911-413c-498c-98a6-e3ee8f605ead,AWK/CCI,0.024060802398004
Open/Add,CCI,OPEN,buy,7,success,ca6c3c42-2d04-4b64-ba60-11210708ae31,AWK/CCI,0.024060802398004
