n_pairs,div_factor,n_effective,avg_corr,portfolio_var_norm,portfolio_std_norm,weighted_avg_edge,edge_per_risk,diversification_eff,marginal_benefit
10,3.6061809151663393,2.773016727459093,0.2895756572407044,0.36061809151663393,0.600514855367154,1.1306536722869176,1.882807164854627,0.27730167274590933,
20,5.8918905664582155,3.3944961764662533,0.2574679245504324,0.2945945283229108,0.5427656292755749,1.0095586134427441,1.8600267942356523,0.16972480882331267,0.6214794490071602
30,6.121578069573378,4.900697117482118,0.17660614033011646,0.2040526023191126,0.451721819618128,0.9442704295431408,2.0903803813183046,0.16335657058273725,1.506200941015865
40,6.6349284524750995,6.028701030691351,0.14448534493525897,0.1658732113118775,0.4072753507295494,0.8963210484694114,2.200774112314526,0.15071752576728376,1.1280039132092323
50,6.074146527554519,8.231609127830877,0.10355401076641876,0.12148293055109038,0.348544015227762,0.849481393873759,2.437228461141847,0.16463218255661752,2.2029080971395265
60,5.918279554806762,10.138081421190835,0.0833606704204536,0.0986379925801127,0.31406686004752665,0.8096704621600243,2.5780194129285072,0.1689680236865139,1.9064722933599576
70,5.332915681067728,13.126027896616765,0.06279587943576417,0.07618450972953898,0.2760154157461843,0.7769233166408211,2.814782335763655,0.18751468423738238,2.9879464754259306
80,5.879694433662261,13.606149248502822,0.06176828397040837,0.07349618042077827,0.27110178977789556,0.748894389546105,2.762410348377444,0.17007686560628527,0.48012135188605676
90,6.178723349104108,14.566115832496314,0.05818790279892256,0.06865248165671231,0.26201618586780534,0.723481552655598,2.761209389639063,0.16184573147218126,0.9599665839934914
100,6.7171250300950875,14.887321518054936,0.05774873767772815,0.06717125030095088,0.2591741698181956,0.6991104691352683,2.6974542626129656,0.14887321518054936,0.3212056855586223
150,7.712980231854241,19.447735569255986,0.0450535586030486,0.0514198682123616,0.22675949420556044,0.5963626217431087,2.6299345208562612,0.12965157046170658,4.56041405120105
200,9.335902673323655,21.422674057161995,0.0418889581574053,0.046679513366618276,0.2160544222334231,0.5258603202238623,2.4339252804357225,0.10711337028580999,1.9749384879060088
250,15.360371616047551,16.275647897659958,0.057672175164849605,0.061441486464190204,0.24787393260322918,0.4751089254777555,1.9167361427966711,0.06510259159063983,-5.147026159502037
300,25.84264743052983,11.608717752562294,0.08308577735963153,0.0861421581017661,0.2934998434441935,0.43791353385958054,1.4920400935165952,0.038695725841874314,-4.666930145097664
350,41.95809327058944,8.341656465245832,0.11735843344008436,0.11988026648739838,0.3462372979437634,0.40966113142974725,1.183180246214506,0.023833304186416663,-3.267061287316462
400,45.54450698660688,8.782617849340792,0.11164036838748592,0.1138612674665172,0.33743335262910396,0.38621314348153596,1.1445612606826367,0.02195654462335198,0.44096138409496
450,46.84935579978171,9.605254806984917,0.10211437817323321,0.10410967955507047,0.3226603160524555,0.36566636743393416,1.133285840377368,0.021345010682188706,0.822636957644125
500,47.91837212720054,10.434411224837463,0.09402479384208526,0.09583674425440109,0.3095751027689421,0.3472970433857782,1.1218506923826839,0.020868822449674928,0.8291564178525466
550,50.68433988687052,10.851478015253273,0.09049970835495541,0.09215334524885549,0.3035676946726306,0.330633652820042,1.089159547021627,0.019729960027733223,0.4170667904158094
600,52.937804894898456,11.334055146246179,0.08670752069265185,0.08822967482483075,0.2970348040631447,0.31602585365507574,1.0639354356195037,0.018890091910410297,0.48257713099290633
650,54.15897368279817,12.001704533896131,0.08190905035870288,0.08332149797353565,0.28865463442241085,0.30316938887636646,1.050284155260487,0.018464160821378663,0.6676493876499521
700,53.439399498103775,13.098949587276678,0.07502060014034875,0.07634199928300539,0.2763005596863774,0.29154215928185206,1.0551631151698537,0.01871278512468097,1.0972450533805471
750,55.32481485733876,13.556303838231708,0.07252979286694093,0.07376641980978502,0.2715997419177438,0.2810669589550107,1.0348572387087693,0.018075071784308942,0.4573542509550297
800,59.723643208687484,13.395030125751452,0.07349642454153628,0.07465455401085935,0.2732298556359816,0.2717237965136788,0.9944879408628414,0.016743787657189316,-0.16127371248025568
850,65.96322231317133,12.885968425928075,0.07651734076934197,0.07760379095667215,0.27857456983126105,0.2633577490377965,0.9453761310564647,0.015159962854033029,-0.509061699823377
900,72.79025232155374,12.36429290043144,0.07985567555234009,0.0808780581350597,0.2843906787063523,0.25576169434188467,0.8993321985984339,0.0137381032227016,-0.5216755254966348
950,80.0406517726166,11.868968817230606,0.08328835803226196,0.08425331765538589,0.2902642204188899,0.24875118627791915,0.8569819108911808,0.012493651386558531,-0.49532408320083476
1000,84.24874313400342,11.869613276122484,0.08333207520921264,0.08424874313400342,0.2902563403855348,0.24220956989158016,0.8344678003238923,0.011869613276122485,0.0006444588918785854
1050,88.01417060954894,11.929897114613974,0.08294963833131452,0.08382301962814184,0.28952205378544454,0.23604226252670849,0.8152824955491362,0.011361806775822833,0.06028383849148966
1100,91.96112920185226,11.961575608597943,0.08276717852761807,0.08360102654713841,0.2891384210843284,0.23015794920115162,0.7960130249657312,0.010874159644179949,0.0316784939839696
1150,94.13634965282087,12.216322432739874,0.08105861588583191,0.08185769535027902,0.286107838673251,0.22456982663658615,0.7849132259988715,0.010622889071947717,0.2547468241419306
1200,96.73719121133581,12.40474304632676,0.0798475322863518,0.08061432600944651,0.2839266208185603,0.21921035106113768,0.7720669179563169,0.010337285871938965,0.1884206135868851
1250,96.89116324368159,12.901073308989448,0.07677435007500527,0.07751293059494527,0.27841144120697564,0.21409539562754115,0.7689892150243176,0.010320858647191558,0.4963302626626884
1300,98.12385715896838,13.248561946498878,0.07476817333253917,0.07547989012228337,0.27473603717438194,0.20921103710742037,0.7614983431337361,0.01019120149730683,0.3474886375094304
1350,99.16615766329913,13.61351525369857,0.07276957573261611,0.07345641308392528,0.27102843593233034,0.20456034326413042,0.7547560187197645,0.010084085373110051,0.3649533071996913
1400,100.28062500131729,13.960822441838685,0.0709654217307486,0.07162901785808377,0.2676359801261478,0.2001374189348056,0.747797134153908,0.009972016029884775,0.34730718814011574
1450,102.13992332483193,14.196211949255309,0.06979980905785502,0.07044132643091856,0.2654078492262777,0.1959192368648399,0.7381817735835153,0.00979049099948642,0.2353895074166239
1500,103.42202357719769,14.503680629303771,0.06832690031834403,0.06894801571813179,0.2625795416976193,0.19187847957576415,0.730744209298404,0.009669120419535847,0.30746868004846206
1550,105.73847922626935,14.658807383480154,0.06761683616931527,0.06821837369436733,0.2611864730309886,0.1880200103012912,0.7198688665587344,0.009457295086116228,0.15512675417638278
1600,107.84897128456268,14.83556107158735,0.06682237103474839,0.06740560705285167,0.25962589827066884,0.18433747475001863,0.7100118900998103,0.009272225669742094,0.17675368810719583
