symbol,action,side,qty,reason,current_value,pair,edge,priority,target_price
KVUE,OPEN,buy,27,Open new long position,0,KVUE/KDP,0.0140022622793161,2,16.825000000000003
KDP,OPEN,sell,20,Open new short position,0,KVUE/KDP,0.0140022622793161,2,27.595
LDOS,OPEN,sell,4,Open new short position,0,LDOS/TEL,0.0125504669018606,2,99.28
TEL,OPEN,buy,6,Open new long position,0,LDOS/TEL,0.0125504669018606,2,115.735
DELL,OPEN,buy,12,Open new long position,0,DELL/XYL,0.0116204703237681,2,56.495
XYL,OPEN,sell,6,Open new short position,0,DELL/XYL,0.0116204703237681,2,69.825
HAS,OPEN,sell,6,Open new short position,0,HAS/HUBB,0.0112503351935262,2,29.505
HUBB,OPEN,buy,4,Open new long position,0,HAS/HUBB,0.0112503351935262,2,235.265
AMT,OPEN,buy,11,Open new long position,0,AMT/HRL,0.0103065920614898,2,80.41
HRL,OPEN,sell,19,Open new short position,0,AMT/HRL,0.0103065920614898,2,10.86
MMM,OPEN,buy,8,Open new long position,0,MMM/XOM,0.0068867609103464,2,77.935
XOM,OPEN,sell,8,Open new short position,0,MMM/XOM,0.0068867609103464,2,58.355
LOW,OPEN,sell,2,Open new short position,0,LOW/SPG,0.0067194869168627,2,268.72
SPG,OPEN,buy,6,Open new long position,0,LOW/SPG,0.0067194869168627,2,92.275
BX,OPEN,sell,11,Open new short position,0,BX/TSCO,0.0059502727440243,2,73.765
TSCO,OPEN,buy,10,Open new long position,0,BX/TSCO,0.0059502727440243,2,24.325
COR,OPEN,buy,2,Open new long position,0,COR/MCK,0.0058554091104383,2,167.73
MCK,OPEN,sell,2,Open new short position,0,COR/MCK,0.0058554091104383,2,369.0
APO,OPEN,buy,5,Open new long position,0,APO/HSIC,0.0043806846268678,2,143.82999999999998
HSIC,OPEN,sell,10,Open new short position,0,APO/HSIC,0.0043806846268678,2,38.815
BIIB,OPEN,sell,8,Open new short position,0,BIIB/FOX,0.0040862028473598,2,93.795
FOX,OPEN,buy,8,Open new long position,0,BIIB/FOX,0.0040862028473598,2,33.205
