stock1,stock2,signal,z_score,capital_allocation,entry_date,order1_id,order2_id,status,exit_date
STZ,LRCX,SELL,2.2058355017156046,552.99,2026-01-03 18:40:19,69586b7c-303c-4525-8e43-0d43dae6f08a,299c2fa7-b51f-41c9-ba27-0d43f188398f,closed,2026-01-03 18:52:09
XOM,GILD,SELL,2.1932044107801136,527.04,2026-01-03 18:40:19,2a9e1c26-d6a3-4148-b348-468a62d23b66,a7e22514-5a8e-424f-b363-d57f1a982650,closed,2026-01-03 18:52:09
XOM,SRE,SELL,2.193095506374514,479.84,2026-01-03 18:40:19,c5501b36-6c70-462a-8047-36dcc2c53977,125b4049-2d07-447d-a123-934343a85393,closed,2026-01-03 18:52:09
MNST,ROL,SELL,2.190473048654758,564.04,2026-01-03 18:40:20,43e5a8a7-7d67-475f-8555-fbe2ececf6ab,353e82df-a565-4e88-ad27-66352c6ea844,closed,2026-01-03 18:52:09
PSA,TRV,BUY,-2.1665193720824605,414.48,2026-01-03 18:40:20,7c83e96c-bff9-421c-8459-c666810fb0c2,b3db8a76-80b8-455e-a051-3d7ea088cb1b,closed,2026-01-03 18:52:10
REG,TSN,BUY,-2.157930027201648,428.3200000000001,2026-01-03 18:40:20,1920ecd4-659a-4d3d-9d26-6616172719e3,9ce05d8d-d8ed-4b02-ab4b-b260c5345052,closed,2026-01-03 18:52:10
MMM,FOX,BUY,-2.109483846656373,518.23,2026-01-03 18:40:20,32d88a4b-f4e1-44cb-9846-11e81e49bc2d,e793f93c-d400-4f3f-9655-d196aee104c1,closed,2026-01-03 18:52:10
XOM,IP,SELL,2.106384881846365,505.08,2026-01-03 18:40:21,e365cf45-c699-4b2e-b7e9-57cc29faae7f,358c666f-7175-419e-908c-c198865684d3,closed,2026-01-03 18:52:10
DVN,PFE,SELL,2.088330792057104,554.29,2026-01-03 18:40:21,57319e90-3395-41d3-abd2-2cbd19e492d6,7b72357e-6280-4a8e-8230-8e4f0545ec3a,closed,2026-01-03 18:52:11
AME,LVS,SELL,2.084471950728978,425.485,2026-01-03 18:40:21,a2214103-42ab-4833-a104-853d0fac3574,57662dfe-d438-45a0-808e-44ff229dca82,closed,2026-01-03 18:52:11
CDW,TTD,BUY,-2.04401322400412,357.895,2026-01-03 18:40:22,57520760-7188-4496-bd09-16b341438b33,fd163fa3-a307-4324-9c21-a61bbb3c1f92,closed,2026-01-03 18:52:11
AME,INVH,SELL,2.043667752209022,405.88,2026-01-03 18:40:22,23b8ad7f-1f72-4af6-a3d8-47fca9caed90,ac87cae7-42dc-47aa-bc96-55a46c63c97c,closed,2026-01-03 18:52:11
XOM,HRL,SELL,2.0184795010446868,239.73,2026-01-03 18:40:22,3d55d09c-d368-4b83-a41b-a6099a1d5491,65c4158d-e618-4634-9e3e-848d6a8da24f,closed,2026-01-03 18:52:12
XOM,KHC,SELL,2.0111144756845816,237.53,2026-01-03 18:40:22,716357d8-101c-4403-87c8-4cb3f70293ac,19bd9516-785b-4787-bda3-4be9a4a994c1,closed,2026-01-03 18:52:12
XOM,HOLX,SELL,2.008370101845473,346.515,2026-01-03 18:40:22,f5523606-63b4-420b-b893-10de8a3e940a,5f1dc9f0-5f75-49fe-8748-aac21af99b01,closed,2026-01-03 18:52:12
XOM,INVH,SELL,2.001774915843133,228.02,2026-01-03 18:40:23,2aa5017c-1965-4859-8c92-2aaab3645244,ec8d928a-5e19-4f56-8e0d-f232938bf33f,closed,2026-01-03 18:52:13
